PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
2256,Ken Johnson,1978-02-01,johnske03,Ken Johnson,1978-02-01
2257,Ruben Boumtje-Boumtje,1978-05-20,boumtru01,Ruben Boumtje-Boumtje,1978-05-20
2260,Jarron Collins,1978-12-02,collija03,Jarron Collins,1978-12-02
2261,Kenny Satterfield,1981-04-10,satteke01,Kenny Satterfield,1981-04-10
2264,Alvin Jones,1978-09-09,jonesal01,Alvin Jones,1978-09-09
2294,Charlie Bell,1979-03-12,bellch01,Charlie Bell,1979-03-12
2306,Carlos Arroyo,1979-07-30,arroyca01,Carlos Arroyo,1979-07-30
2321,Paul Shirley,1977-12-23,shirlpa01,Paul Shirley,1977-12-23
2343,Joe Crispin,1979-07-18,crispjo01,Joe Crispin,1979-07-18
2347,Tang Hamilton,1978-05-26,hamilta01,Tang Hamilton,1978-05-26
2349,Victor Alexander,1969-08-31,alexavi01,Victor Alexander,1969-08-31
2351,Oscar Torres,1976-12-18,torreos01,Oscar Torres,1976-12-18
2352,Dean Oliver,1978-11-05,olivede01,Dean Oliver,1978-11-05
2357,Tierre Brown,1979-06-03,brownti01,Tierre Brown,1979-06-03
2365,Chris Andersen,1978-07-07,anderch01,Chris Andersen,1978-07-07
2366,Mike Wilks,1979-05-07,wilksmi01,Mike Wilks,1979-05-07
2367,Geno Carlisle,1976-08-13,carlige01,Geno Carlisle,1976-08-13
2369,Norman Richardson,1979-07-24,richano01,Norm Richardson,1979-07-24
2370,Mengke Bateer,1975-11-20,bateeme01,Mengke Bateer,1975-11-20
2397,Yao Ming,1980-09-12,mingya01,Yao Ming,1980-09-12
2398,Jay Williams,1981-09-10,willija03,Jay Williams,1981-09-10
2399,Mike Dunleavy,1980-09-15,dunlemi02,Mike Dunleavy,1980-09-15
2400,Drew Gooden,1981-09-24,goodedr01,Drew Gooden,1981-09-24
2401,Nikoloz Tskitishvili,1983-04-14,tskitni01,Nikoloz Tskitishvili,1983-04-14
2402,Dajuan Wagner,1983-02-04,wagneda02,Dajuan Wagner,1983-02-04
2403,Nene,1982-09-13,hilarne01,Nene Hilario,1982-09-13
2404,Chris Wilcox,1982-09-03,wilcoch01,Chris Wilcox,1982-09-03
2405,Amar'e Stoudemire,1982-11-16,stoudam01,Amar'e Stoudemire,1982-11-16
2406,Caron Butler,1980-03-13,butleca01,Caron Butler,1980-03-13
2407,Jared Jeffries,1981-11-25,jeffrja01,Jared Jeffries,1981-11-25
2408,Melvin Ely,1978-05-02,elyme01,Melvin Ely,1978-05-02
2409,Marcus Haislip,1980-12-22,haislma01,Marcus Haislip,1980-12-22
2410,Fred Jones,1979-03-11,jonesfr01,Fred Jones,1979-03-11
2411,Bostjan Nachbar,1980-07-03,nachbbo01,Botjan Nachbar,1980-07-03
2412,Jiri Welsch,1980-01-27,welscji01,Jiri Welsch,1980-01-27
2413,Juan Dixon,1978-10-09,dixonju01,Juan Dixon,1978-10-09
2414,Curtis Borchardt,1980-09-13,borchcu01,Curtis Borchardt,1980-09-13
2415,Ryan Humphrey,1979-07-24,humphry01,Ryan Humphrey,1979-07-24
2416,Kareem Rush,1980-10-30,rushka01,Kareem Rush,1980-10-30
2417,Qyntel Woods,1981-02-16,woodsqy01,Qyntel Woods,1981-02-16
2418,Casey Jacobsen,1981-03-19,jacobca01,Casey Jacobsen,1981-03-19
2419,Tayshaun Prince,1980-02-28,princta01,Tayshaun Prince,1980-02-28
2420,Nenad Krstic,1983-07-25,krstine01,Nenad Krstic,1983-07-25
2421,Frank Williams,1980-02-25,willifr02,Frank Williams,1980-02-25
2422,John Salmons,1979-12-12,salmojo01,John Salmons,1979-12-12
2423,Chris Jefferies,1980-02-13,jeffech01,Chris Jefferies,1980-02-13
2424,Dan Dickau,1978-09-16,dickada01,Dan Dickau,1978-09-16
2425,Robert Archibald,1980-03-29,archiro01,Robert Archibald,1980-03-29
2427,Roger Mason Jr.,1980-09-10,masonro01,Roger Mason,1980-09-10
2428,Vincent Yarbrough,1981-03-21,yarbrvi01,Vincent Yarbrough,1981-03-21
2429,Dan Gadzuric,1978-02-02,gadzuda01,Dan Gadzuric,1978-02-02
2430,Carlos Boozer,1981-11-20,boozeca01,Carlos Boozer,1981-11-20
2431,David Andersen,1980-06-23,anderda03,David Andersen,1980-06-23
2432,Tito Maddox,1981-06-07,maddoti01,Tito Maddox,1981-06-07
2434,Juan Carlos Navarro,1980-06-13,navarju01,Juan Carlos Navarro,1980-06-13
2435,Mario Kasun,1980-04-05,kasunma01,Mario Kasun,1980-04-05
2436,Flip Murray,1979-07-29,murraro01,Ronald Murray,1979-07-29
2437,Lonny Baxter,1979-01-27,baxtelo01,Lonny Baxter,1979-01-27
2440,Matt Barnes,1980-03-09,barnema02,Matt Barnes,1980-03-09
2441,Jamal Sampson,1983-05-15,sampsja01,Jamal Sampson,1983-05-15
2442,Chris Owens,1979-03-01,owensch01,Chris Owens,1979-03-01
2443,Darius Songaila,1978-02-14,songada01,Darius Songaila,1978-02-14
2446,Rasual Butler,1979-05-23,butlera01,Rasual Butler,1979-05-23
2447,Tamar Slay,1980-04-02,slayta01,Tamar Slay,1980-04-02
2449,Luis Scola,1980-04-30,scolalu01,Luis Scola,1980-04-30
2450,Randy Holcomb,1979-08-08,holcora01,Randy Holcomb,1979-08-08
2451,Corsley Edwards,1979-03-05,edwarco01,Corsley Edwards,1979-03-05
2452,J.R. Bremer,1980-09-19,bremejr01,J.R. Bremer,1980-09-19
2453,Predrag Savovic,1976-05-21,savovpr01,Predrag Savovic,1976-05-21
2454,Junior Harrington,1980-10-02,harriju01,Junior Harrington,1980-10-02
2456,Cezary Trybanski,1979-09-22,trybace01,Cezary Trybanski,1979-09-22
2457,Jannero Pargo,1979-10-22,pargoja01,Jannero Pargo,1979-10-22
2462,Guy Rucker,1977-07-27,ruckegu01,Guy Rucker,1977-07-27
2466,Maurice Carter,1976-10-12,cartema01,Maurice Carter,1976-10-12
2469,Pat Burke,1973-12-14,burkepa01,Pat Burke,1973-12-14
2470,Smush Parker,1981-06-01,parkesm01,Smush Parker,1981-06-01
2471,Mike Batiste,1977-11-21,batismi01,Mike Batiste,1977-11-21
2484,Devin Brown,1978-12-30,brownde02,Devin Brown,1978-12-30
2486,Maurice Baker,1979-07-28,bakerma01,Maurice Baker,1979-07-28
2492,Adam Harrington,1980-07-05,harriad01,Adam Harrington,1980-07-05
2499,Richie Frahm,1977-08-14,frahmri01,Richie Frahm,1977-08-14
2501,Reggie Evans,1980-05-18,evansre01,Reggie Evans,1980-05-18
2541,Antoine Rigaudeau,1971-12-17,rigauan01,Antoine Rigaudeau,1971-12-17
2544,LeBron James,1984-12-30,jamesle01,LeBron James,1984-12-30
2545,Darko Milicic,1985-06-20,milicda01,Darko Milicic,1985-06-20
2546,Carmelo Anthony,1984-05-29,anthoca01,Carmelo Anthony,1984-05-29
2547,Chris Bosh,1984-03-24,boshch01,Chris Bosh,1984-03-24
2548,Dwyane Wade,1982-01-17,wadedw01,Dwyane Wade,1982-01-17
2549,Chris Kaman,1982-04-28,kamanch01,Chris Kaman,1982-04-28
2550,Kirk Hinrich,1981-01-02,hinriki01,Kirk Hinrich,1981-01-02
2551,T.J. Ford,1983-03-24,fordtj01,T.J. Ford,1983-03-24
2552,Michael Sweetney,1982-10-25,sweetmi01,Mike Sweetney,1982-10-25
2553,Jarvis Hayes,1981-08-09,hayesja01,Jarvis Hayes,1981-08-09
2554,Mickael Pietrus,1982-02-07,pietrmi01,Mickael Pietrus,1982-02-07
2555,Nick Collison,1980-10-26,collini01,Nick Collison,1980-10-26
2556,Marcus Banks,1981-11-19,banksma01,Marcus Banks,1981-11-19
2557,Luke Ridnour,1981-02-13,ridnolu01,Luke Ridnour,1981-02-13
2558,Reece Gaines,1981-01-07,gainere01,Reece Gaines,1981-01-07
2559,Troy Bell,1980-11-10,belltr01,Troy Bell,1980-11-10
2560,Zarko Cabarkapa,1981-05-21,cabarza01,arko Cabarkapa,1981-05-21
2561,David West,1980-08-29,westda01,David West,1980-08-29
2562,Sasha Pavlovic,1983-11-15,pavloal01,Sasha Pavlovic,1983-11-15
2563,Dahntay Jones,1980-12-27,jonesda02,Dahntay Jones,1980-12-27
2564,Boris Diaw,1982-04-16,diawbo01,Boris Diaw,1982-04-16
2565,Zoran Planinic,1982-09-12,planizo01,Zoran Planinic,1982-09-12
2566,Travis Outlaw,1984-09-18,outlatr01,Travis Outlaw,1984-09-18
2567,Brian Cook,1980-12-04,cookbr01,Brian Cook,1980-12-04
2568,Carlos Delfino,1982-08-29,delfica01,Carlos Delfino,1982-08-29
2569,Ndudi Ebi,1984-06-18,ebind01,Ndudi Ebi,1984-06-18
2570,Kendrick Perkins,1984-11-10,perkike01,Kendrick Perkins,1984-11-10
2571,Leandro Barbosa,1982-11-28,barbole01,Leandro Barbosa,1982-11-28
2572,Josh Howard,1980-04-28,howarjo01,Josh Howard,1980-04-28
2573,Maciej Lampe,1985-02-05,lampema01,Maciej Lampe,1985-02-05
2574,Jason Kapono,1981-02-04,kaponja01,Jason Kapono,1981-02-04
2575,Luke Walton,1980-03-28,waltolu01,Luke Walton,1980-03-28
2580,Travis Hansen,1978-04-15,hansetr01,Travis Hansen,1978-04-15
2581,Steve Blake,1980-02-26,blakest01,Steve Blake,1980-02-26
2582,Slavko Vranes,1983-01-30,vranesl01,Slavko Vrane,1983-01-30
2583,Derrick Zimmerman,1981-12-02,zimmede01,Derrick Zimmerman,1981-12-02
2584,Willie Green,1981-07-28,greenwi01,Willie Green,1981-07-28
2585,Zaza Pachulia,1984-02-10,pachuza01,Zaza Pachulia,1984-02-10
2586,Keith Bogans,1980-05-12,boganke01,Keith Bogans,1980-05-12
2588,Matt Bonner,1980-04-05,bonnema01,Matt Bonner,1980-04-05
2590,Mo Williams,1982-12-19,willima01,Mo Williams,1982-12-19
2591,James Lang,1983-10-17,langja01,James Lang,1983-10-17
2592,James Jones,1980-10-04,jonesja02,James Jones,1980-10-04
2594,Kyle Korver,1981-03-17,korveky01,Kyle Korver,1981-03-17
2599,Brandon Hunter,1980-11-24,huntebr01,Brandon Hunter,1980-11-24
2601,Andreas Glyniadakis,1981-08-21,glynian01,Andreas Glyniadakis,1981-08-21
2602,Jerome Beasley,1980-05-17,beaslje01,Jerome Beasley,1980-05-17
2604,Theron Smith,1980-10-03,smithth01,Theron Smith,1980-10-03
2605,Marquis Daniels,1981-01-07,daniema01,Marquis Daniels,1981-01-07
2617,Udonis Haslem,1980-06-09,hasleud01,Udonis Haslem,1980-06-09
2624,Quinton Ross,1981-04-30,rossqu01,Quinton Ross,1981-04-30
2632,Kirk Penney,1980-11-23,penneki01,Kirk Penney,1980-11-23
2637,Alex Scales,1978-07-03,scaleal01,Alex Scales,1978-07-03
2639,Britton Johnsen,1979-07-08,johnsbr01,Britton Johnsen,1979-07-08
2648,Ronald Dupree,1981-01-26,duprero01,Ronald Dupree,1981-01-26
2652,Shelton Jones,1966-04-06,jonessh01,Shelton Jones,1966-04-06
2657,Yuta Tabuse,1980-10-05,tabusyu01,Yuta Tabuse,1980-10-05
2667,Desmond Penigar,1981-07-16,penigde01,Desmond Penigar,1981-07-16
2668,Josh Davis,1980-08-10,davisjo02,Josh Davis,1980-08-10
2669,Linton Johnson,1980-06-13,johnsli01,Linton Johnson,1980-06-13
2673,Hiram Fuller,1981-05-15,fullehi01,Hiram Fuller,1981-05-15
2679,Matt Carroll,1980-08-28,carroma01,Matt Carroll,1980-08-28
2682,Alex Garcia,1980-03-04,garcial01,Alex Garcia,1980-03-04
2684,Melvin Sanders,1981-01-03,sandeme01,Melvin Sanders,1981-01-03
2688,Brandin Knight,1981-12-16,knighbr02,Brandin Knight,1981-12-16
2693,Keith McLeod,1979-11-05,mcleoke01,Keith McLeod,1979-11-05
2694,Josh Powell,1983-01-25,poweljo01,Josh Powell,1983-01-25
2696,Lynn Greer,1979-10-23,greerly01,Lynn Greer,1979-10-23
2724,Desmond Ferguson,1977-07-22,fergude01,Desmond Ferguson,1977-07-22
2730,Dwight Howard,1985-12-08,howardw01,Dwight Howard,1985-12-08
2731,Emeka Okafor,1982-09-28,okafoem01,Emeka Okafor,1982-09-28
2732,Ben Gordon,1983-04-04,gordobe01,Ben Gordon,1983-04-04
2733,Shaun Livingston,1985-09-11,livinsh01,Shaun Livingston,1985-09-11
2734,Devin Harris,1983-02-27,harride01,Devin Harris,1983-02-27
2735,Josh Childress,1983-06-20,childjo01,Josh Childress,1983-06-20
2736,Luol Deng,1985-04-16,denglu01,Luol Deng,1985-04-16
2737,Rafael Araujo,1980-08-12,araujra01,Rafael Araujo,1980-08-12
2738,Andre Iguodala,1984-01-28,iguodan01,Andre Iguodala,1984-01-28
2739,Luke Jackson,1981-11-06,jackslu02,Luke Jackson,1981-11-06
2740,Andris Biedrins,1986-04-02,biedran01,Andris Biedrin,1986-04-02
2741,Robert Swift,1985-12-03,swiftro01,Robert Swift,1985-12-03
2742,Sebastian Telfair,1985-06-09,telfase01,Sebastian Telfair,1985-06-09
2743,Kris Humphries,1985-02-06,humphkr01,Kris Humphries,1985-02-06
2744,Al Jefferson,1985-01-04,jeffeal01,Al Jefferson,1985-01-04
2745,Kirk Snyder,1983-06-05,snydeki01,Kirk Snyder,1983-06-05
2746,Josh Smith,1985-12-05,smithjo03,Josh Smith,1985-12-05
2747,JR Smith,1985-09-09,smithjr01,J.R. Smith,1985-09-09
2748,Dorell Wright,1985-12-02,wrighdo01,Dorell Wright,1985-12-02
2749,Jameer Nelson,1982-02-09,nelsoja01,Jameer Nelson,1982-02-09
2750,Pavel Podkolzin,1985-01-15,podkopa01,Pavel Podkolzin,1985-01-15
2751,Viktor Khryapa,1982-08-03,khryavi01,Viktor Khryapa,1982-08-03
2752,Sergei Monia,1983-04-15,moniase01,Sergei Monia,1983-04-15
2753,Delonte West,1983-07-26,westde01,Delonte West,1983-07-26
2754,Tony Allen,1982-01-11,allento01,Tony Allen,1982-01-11
2755,Kevin Martin,1983-02-01,martike02,Kevin Martin,1983-02-01
2756,Sasha Vujacic,1984-03-08,vujacsa01,Sasha Vujacic,1984-03-08
2757,Beno Udrih,1982-07-05,udrihbe01,Beno Udrih,1982-07-05
2758,David Harrison,1982-08-15,harrida01,David Harrison,1982-08-15
2760,Anderson Varejao,1982-09-28,varejan01,Anderson Varejao,1982-09-28
2761,Jackson Vroman,1981-06-06,vromaja01,Jackson Vroman,1981-06-06
2762,Peter John Ramos,1985-05-13,ramospe01,Peter John Ramos,1985-05-13
2763,Lionel Chalmers,1980-11-10,chalmli01,Lionel Chalmers,1980-11-10
2764,Donta Smith,1983-11-27,smithdo04,Donta Smith,1983-11-27
2765,Andre Emmett,1982-08-27,emmetan01,Andre Emmett,1982-08-27
2766,Antonio Burks,1980-02-25,burksan01,Antonio Burks,1980-02-25
2767,Royal Ivey,1981-12-20,iveyro01,Royal Ivey,1981-12-20
2768,Chris Duhon,1982-08-31,duhonch01,Chris Duhon,1982-08-31
2770,Justin Reed,1982-01-16,reedju01,Justin Reed,1982-01-16
2772,Trevor Ariza,1985-06-30,arizatr01,Trevor Ariza,1985-06-30
2774,Bernard Robinson,1980-12-26,robinbe01,Bernard Robinson,1980-12-26
2775,Ha Ha,1985-08-04,seungha01,Ha Seung-Jin,1985-08-04
2776,Pape Sow,1981-11-22,sowpa01,Pape Sow,1981-11-22
2779,Vassilis Spanoulis,1982-08-07,spanova01,Vassilis Spanoulis,1982-08-07
2782,Matt Freije,1981-10-02,freijma01,Matt Freije,1981-10-02
2784,Luis Flores,1981-04-11,florelu01,Luis Flores,1981-04-11
2788,DJ Mbenga,1980-12-30,mbengdj01,Didier Ilunga-Mbenga,1980-12-30
2798,Horace Jenkins,1974-10-14,jenkiho01,Horace Jenkins,1974-10-14
2800,Tony Bobbitt,1979-10-22,bobbito01,Tony Bobbitt,1979-10-22
2804,Andres Nocioni,1979-11-30,nocioan01,Andres Nocioni,1979-11-30
2809,Gerald Fitch,1982-08-12,fitchge01,Gerald Fitch,1982-08-12
2810,Andre Brown,1981-05-12,brownan01,Andre Brown,1981-05-12
2823,John Edwards,1981-07-31,edwarjo01,John Edwards,1981-07-31
2824,Desmon Farmer,1981-10-07,farmede01,Desmon Farmer,1981-10-07
2825,Ibrahim Kutluay,1974-07-01,kutluib01,Ibo Kutluay,1974-07-01
2839,James Thomas,1980-11-22,thomaja02,James Thomas,1980-11-22
2845,Erik Daniels,1982-04-01,danieer01,Erik Daniels,1982-04-01
2852,Awvee Storey,1977-04-18,storeaw01,Awvee Storey,1977-04-18
2853,Earl Barron,1981-08-14,barroea01,Earl Barron,1981-08-14
2857,Andre Barrett,1982-02-21,barrean01,Andre Barrett,1982-02-21
2863,Damien Wilkins,1980-01-11,wilkida02,Damien Wilkins,1980-01-11
2866,Jackie Butler,1985-03-10,butleja01,Jackie Butler,1985-03-10
2867,Kasib Powell,1981-03-18,powelka01,Kasib Powell,1981-03-18
2873,Billy Thomas,1975-12-23,thomabi01,Billy Thomas,1975-12-23
2876,Jared Reiner,1982-04-08,reineja01,Jared Reiner,1982-04-08
2891,Mark Jones,1975-05-25,jonesma03,Mark Jones,1975-05-25
76001,Alaa Abdelnaby,1968-06-24,abdelal01,Alaa Abdelnaby,1968-06-24
76002,Zaid Abdul-Aziz,1946-04-07,abdulza01,Zaid Abdul-Aziz,1946-04-07
76003,Kareem Abdul-Jabbar,1947-04-16,abdulka01,Kareem Abdul-Jabbar,1947-04-16
76005,Tom Abernethy,1954-05-06,abernto01,Tom Abernethy,1954-05-06
76006,Forest Able,1932-07-27,ablefo01,Forest Able,1932-07-27
76007,John Abramovic,1919-02-09,abramjo01,John Abramovic,
76008,Donald Ackerman,1930-09-04,ackerdo01,Don Ackerman,1930-09-04
76009,Mark Acres,1962-11-15,acresma01,Mark Acres,1962-11-15
76010,Charles Acton,1942-01-11,actonbu01,Bud Acton,1942-01-11
76011,Alvan Adams,1954-07-19,adamsal01,Alvan Adams,1954-07-19
76012,Don Adams,1947-11-27,adamsdo01,Don Adams,1947-11-27
76015,Rick Adelman,1946-06-16,adelmri01,Rick Adelman,1946-06-16
76016,Mark Aguirre,1959-12-10,aguirma01,Mark Aguirre,1959-12-10
76017,Danny Ainge,1959-03-17,aingeda01,Danny Ainge,1959-03-17
76018,Henry Akin,1944-07-31,akinhe01,Henry Akin,1944-07-31
76019,Mark Alarie,1963-12-11,alarima01,Mark Alarie,1963-12-11
76020,Gary Alcorn,1936-10-08,alcorga01,Gary Alcorn,1936-10-08
76021,Chuck Aleksinas,1959-02-26,aleksch01,Chuck Aleksinas,1959-02-26
76022,Gary Alexander,1969-11-01,alexaga01,Gary Alexander,1969-11-01
76024,Steve Alford,1964-11-23,alforst01,Steve Alford,1964-11-23
76025,Randy Allen,1965-01-26,allenra01,Randy Allen,1965-01-26
76027,Lucius Allen,1947-09-26,allenlu01,Lucius Allen,1947-09-26
76028,Bob Allen,1946-07-17,allenbo01,Bob Allen,1946-07-17
76029,Odis Allison,1949-10-02,allisod01,Odis Allison,1949-10-02
76030,Darrell Allums,1958-09-12,allumda01,Darrell Allums,1958-09-12
76034,Bob Anderegg,1937-08-24,anderbo01,Bob Anderegg,1937-08-24
76035,Cliff Anderson,1944-09-07,andercl01,Cliff Anderson,1944-09-07
76036,Daniel Anderson,1951-01-01,anderda02,Dan Anderson,1951-01-01
76037,Dwight Anderson,1960-12-28,anderdw01,Dwight Anderson,1960-12-28
76040,Jerome Anderson,1953-10-09,anderje01,Jerome Anderson,1953-10-09
76041,Kim Anderson,1955-05-12,anderki01,Kim Anderson,1955-05-12
76042,Michael Anderson,1966-03-23,andermi01,Michael Anderson,1966-03-23
76043,Mitchell Anderson,1960-09-23,anderjj01,J.J. Anderson,1960-09-23
76045,Richard Anderson,1960-11-19,anderri01,Richard Anderson,1960-11-19
76046,Ron Anderson,1958-10-15,anderro01,Ron Anderson,1958-10-15
76048,Wally Anderzunas,1946-01-11,anderwa01,Wally Anderzunas,1946-01-11
76049,Don Anielak,1930-11-01,anieldo01,Don Anielak,1930-11-01
76050,Michael Ansley,1967-02-08,anslemi01,Michael Ansley,1967-02-08
76053,Stacey Arceneaux,1936-02-17,arcenst01,Stacey Arceneaux,1936-02-17
76054,Nate Archibald,1948-09-02,architi01,Tiny Archibald,1948-09-02
76055,Jim Ard,1948-09-19,ardji01,Jim Ard,1948-09-19
76056,Paul Arizin,1928-04-09,arizipa01,Paul Arizin,1928-04-09
76057,Joe Arlauckas,1965-07-20,arlaujo01,Joe Arlauckas,1965-07-20
76059,Tate Armstrong,1955-10-05,armstta01,Tate Armstrong,1955-10-05
76060,Paul Armstrong,1918-11-01,armstcu01,Curly Armstrong,1918-11-01
76061,Bob Armstrong,1933-06-17,armstbo01,Bob Armstrong,1933-06-17
76062,Jesse Arnelle,1933-12-30,arnelje01,Jesse Arnelle,1933-12-30
76063,Jay Arnette,1938-12-19,arnetja01,Jay Arnette,1938-12-19
76064,Bob Arnzen,1947-11-03,arnzebo01,Bob Arnzen,1947-11-03
76065,John Arthurs,1947-08-15,arthujo01,John Arthurs,1947-08-15
76068,Don Asmonga,1928-02-15,asmondo01,Don Asmonga,1928-02-15
76069,Richard Atha,1931-09-21,athadi01,Dick Atha,1931-09-21
76070,Alvin Attles,1936-11-07,attleal01,Al Attles,1936-11-07
76071,Chet Aubuchon,1916-05-08,aubucch01,Chet Aubuchon,
76073,John Austin,1944-08-31,austijo01,Johnny Austin,1944-08-31
76074,Ken Austin,1961-07-15,austike01,Ken Austin,1961-07-15
76076,William Averitt,1952-07-22,averibi01,Bird Averitt,1952-07-22
76078,Dennis Awtrey,1948-02-22,awtrede01,Dennis Awtrey,1948-02-22
76079,Milos Babic,1968-11-23,babicmi01,Milo Babic,1968-11-23
76080,Johnny Bach,1924-07-10,bachjo01,Johnny Bach,
76081,Jim Baechtold,1927-12-09,baechji01,Jim Baechtold,1927-12-09
76082,John Bagley,1960-04-23,baglejo01,John Bagley,1960-04-23
76083,Gus Bailey,1951-02-18,bailegu01,Gus Bailey,1951-02-18
76084,Carl Bailey,1958-04-23,baileca01,Carl Bailey,1958-04-23
76085,James Bailey,1957-05-21,baileja01,James Bailey,1957-05-21
76089,Norm Baker,1923-02-17,bakerno01,Norm Baker,
76090,Cedric Ball,1968-04-16,ballce01,Cedric Ball,1968-04-16
76091,Greg Ballard,1955-01-29,ballagr01,Greg Ballard,1955-01-29
76092,Herschel Baltimore,1921-06-21,baltihe01,Herschel Baltimore,
76093,Gene Banks,1959-05-15,banksge01,Gene Banks,1959-05-15
76094,Ken Bannister,1960-04-01,bannike01,Ken Bannister,1960-04-01
76095,Mike Bantom,1951-12-03,bantomi01,Mike Bantom,1951-12-03
76096,John Barber,1927-06-27,barbejo01,John Barber,1927-06-27
76097,Stephen Bardo,1968-04-05,bardost01,Steve Bardo,1968-04-05
76098,Cliff Barker,1921-01-15,barkecl01,Cliff Barker,1921-01-15
76099,Tom Barker,1955-03-11,barketo01,Tom Barker,1955-03-11
76102,Don Barksdale,1923-03-31,barksdo01,Don Barksdale,1923-03-31
76103,Harry Barnes,1945-07-25,barneha01,Harry Barnes,1945-07-25
76104,Marvin Barnes,1952-07-27,barnema01,Marvin Barnes,1952-07-27
76105,Jim Barnes,1941-04-13,barneji01,Jim Barnes,1941-04-13
76106,Jim Barnett,1944-07-07,barneji02,Jim Barnett,1944-07-07
76107,Dick Barnett,1936-10-02,barnedi01,Dick Barnett,1936-10-02
76108,John Barnhill,1938-03-20,barnhjo01,John Barnhill,1938-03-20
76109,Norton Barnhill,1953-07-15,barnhno01,Norton Barnhill,1953-07-15
76110,Leo Barnhorst,1924-05-11,barnhle01,Leo Barnhorst,1924-05-11
76111,John Barr,1918-08-18,barrjo01,John Barr,
76112,Mike Barr,1950-10-19,barrmi01,Mike Barr,1950-10-19
76113,Thomas Barr,1944-06-19,barrmo01,Moe Barr,1944-06-19
76114,Ernie Barrett,1929-08-27,barreer01,Ernie Barrett,1929-08-27
76117,Ed Bartels,1925-10-08,barteed01,Ed Bartels,1925-10-08
76118,Vic Bartolome,1948-09-29,bartovi01,Vic Bartolome,1948-09-29
76119,Jerry Baskerville,1951-11-10,baskeje01,Jerry Baskerville,1951-11-10
76120,Tim Bassett,1951-04-01,basseti01,Tim Bassett,1951-04-01
76121,Billyray Bates,1956-05-31,batesbi01,Billy Ray Bates,1956-05-31
76123,Kenny Battle,1964-10-10,battlke01,Kenny Battle,1964-10-10
76124,Dave Batton,1956-03-26,battoda01,Dave Batton,1956-03-26
76125,Johnny Baum,1946-06-17,baumjo01,Johnny Baum,1946-06-17
76126,Frankie Baumholtz,1918-10-07,baumhfr01,Frankie Baumholtz,
76127,Elgin Baylor,1934-09-16,bayloel01,Elgin Baylor,1934-09-16
76128,Sergei Bazarevich,1965-03-16,bazarse01,Sergei Bazarevich,1965-03-16
76129,Ed Beach,1929-01-25,beached01,Ed Beach,1929-01-25
76130,Butch Beard,1947-05-04,beardbu01,Butch Beard,1947-05-04
76131,Ralph Beard,1927-12-02,beardra01,Ralph Beard,1927-12-02
76133,Zelmo Beaty,1939-10-25,beatyze01,Zelmo Beaty,1939-10-25
76134,Byron Beck,1945-01-25,beckby01,Byron Beck,1945-01-25
76136,Ernie Beck,1931-12-11,becker01,Ernie Beck,1931-12-11
76137,Moe Becker,1917-02-24,beckemo01,Moe Becker,
76138,William Bedford,1963-12-14,bedfowi01,William Bedford,1963-12-14
76139,Hank Beenders,1916-06-02,beendha01,Hank Beenders,
76140,Ron Behagen,1951-01-14,behagro01,Ron Behagen,1951-01-14
76141,Elmer Behnke,1929-02-03,behnkel01,Elmer Behnke,1929-02-03
76142,Dennis Bell,1951-06-02,bellde01,Dennis Bell,1951-06-02
76143,William Bell,1932-09-13,bellwh01,Whitey Bell,1932-09-13
76144,Walt Bellamy,1939-07-24,bellawa01,Walt Bellamy,1939-07-24
76145,Irv Bemoras,1930-11-18,bemorir01,Irv Bemoras,1930-11-18
76146,Leon Benbow,1950-07-23,benbole01,Leon Benbow,1950-07-23
76148,Tony Bennett,1969-06-01,benneto01,Tony Bennett,1969-06-01
76151,Mel Bennett,1955-01-04,benneme01,Mel Bennett,1955-01-04
76152,Winston Bennett,1965-02-09,bennewi01,Winston Bennett,1965-02-09
76154,Kent Benson,1954-12-27,bensoke01,Kent Benson,1954-12-27
76155,Gene Berce,1926-11-22,bercege01,Gene Berce,1926-11-22
76156,Gary Bergen,1932-07-16,bergega01,Gary Bergen,1932-07-16
76157,Ricky Berry,1964-10-06,berryri01,Ricky Berry,1964-10-06
76158,Walter Berry,1964-05-14,berrywa01,Walter Berry,1964-05-14
76159,Del Beshore,1956-11-29,beshode01,Del Beshore,1956-11-29
76160,Al Bianchi,1932-03-26,biancal01,Al Bianchi,1932-03-26
76161,Hank Biasatti,1922-01-14,biasaha01,Hank Biasatti,
76162,Henry Bibby,1949-11-24,bibbyhe01,Henry Bibby,1949-11-24
76163,Ed Biedenbach,1945-08-12,biedeed01,Ed Biedenbach,1945-08-12
76164,Don Bielke,,bielkdo01,Don Bielke,
76165,Bob Bigelow,1953-12-26,bigelbo01,Bob Bigelow,1953-12-26
76166,Dave Bing,1943-11-24,bingda01,Dave Bing,1943-11-24
76167,Joe Binion,1961-03-26,biniojo01,Joe Binion,1961-03-26
76168,Jerry Bird,1935-02-02,birdje01,Jerry Bird,1935-02-02
76170,Otis Birdsong,1955-12-09,birdsot01,Otis Birdsong,1955-12-09
76171,Gale Bishop,1922-06-04,bishoga01,Gale Bishop,
76172,Uwe Blab,1962-03-26,blabuw01,Uwe Blab,1962-03-26
76173,Charlie Black,1921-06-15,blackch01,Charlie Black,1921-06-15
