PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
600015,Oscar Robertson,1938-11-24,roberos01,Oscar Robertson,1938-11-24
600016,Maurice Stokes,1933-06-17,stokema01,Maurice Stokes,1933-06-17
1626143,Jahlil Okafor,1995-12-15,okafoja01,Jahlil Okafor,1995-12-15
1626144,Emmanuel Mudiay,1996-03-05,mudiaem01,Emmanuel Mudiay,1996-03-05
1626145,Tyus Jones,1996-05-10,jonesty01,Tyus Jones,1996-05-10
1626146,Cliff Alexander,1995-11-16,alexacl01,Cliff Alexander,1995-11-16
1626147,Justin Anderson,1993-11-19,anderju01,Justin Anderson,1993-11-19
1626148,Anthony Brown,1992-10-10,brownan02,Anthony Brown,1992-10-10
1626149,Montrezl Harrell,1994-01-26,harremo01,Montrezl Harrell,1994-01-26
1626150,Andrew Harrison,1994-10-28,harrian01,Andrew Harrison,1994-10-28
1626151,Aaron Harrison,1994-10-28,harriaa01,Aaron Harrison,1994-10-28
1626153,Delon Wright,1992-04-26,wrighde01,Delon Wright,1992-04-26
1626154,RJ Hunter,1993-10-24,hunterj01,R.J. Hunter,1993-10-24
1626155,Sam Dekker,1994-05-06,dekkesa01,Sam Dekker,1994-05-06
1626156,D'Angelo Russell,1996-02-23,russeda01,D'Angelo Russell,1996-02-23
1626157,Karl-Anthony Towns,1995-11-15,townska01,Karl-Anthony Towns,1995-11-15
1626158,Richaun Holmes,1993-10-15,holmeri01,Richaun Holmes,1993-10-15
1626159,Justise Winslow,1996-03-26,winslju01,Justise Winslow,1996-03-26
1626161,Willie Cauley-Stein,1993-08-18,caulewi01,Willie Cauley-Stein,1993-08-18
1626162,Kelly Oubre Jr.,1995-12-09,oubreke01,Kelly Oubre,1995-12-09
1626163,Frank Kaminsky,1993-04-04,kaminfr01,Frank Kaminsky,1993-04-04
1626164,Devin Booker,1996-10-30,bookede01,Devin Booker,1996-10-30
1626166,Cameron Payne,1994-08-08,payneca01,Cameron Payne,1994-08-08
1626167,Myles Turner,1996-03-24,turnemy01,Myles Turner,1996-03-24
1626168,Trey Lyles,1995-11-05,lylestr01,Trey Lyles,1995-11-05
1626169,Stanley Johnson,1996-05-29,johnsst04,Stanley Johnson,1996-05-29
1626170,Jerian Grant,1992-10-09,grantje02,Jerian Grant,1992-10-09
1626171,Bobby Portis,1995-02-10,portibo01,Bobby Portis,1995-02-10
1626172,Kevon Looney,1996-02-06,looneke01,Kevon Looney,1996-02-06
1626173,Rashad Vaughn,1996-08-16,vaughra01,Rashad Vaughn,1996-08-16
1626174,Christian Wood,1995-09-27,woodch01,Christian Wood,1995-09-27
1626175,Jordan Mickey,1994-07-09,mickejo01,Jordan Mickey,1994-07-09
1626176,Rakeem Christmas,1991-12-01,chrisra01,Rakeem Christmas,1991-12-01
1626177,Dakari Johnson,1995-09-22,johnsda04,Dakari Johnson,1995-09-22
1626178,Rondae Hollis-Jefferson,1995-01-03,holliro01,Rondae Hollis-Jefferson,1995-01-03
1626179,Terry Rozier,1994-03-17,roziete01,Terry Rozier,1994-03-17
1626181,Norman Powell,1993-05-25,powelno01,Norman Powell,1993-05-25
1626183,Branden Dawson,1993-02-01,dawsobr01,Branden Dawson,1993-02-01
1626184,Chasson Randle,1993-02-05,randlch01,Chasson Randle,1993-02-05
